City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,weyburn,49.6668,-103.8511,291.27,39,100,9.77,CA,1715650240
351,potosi,-19.5836,-65.7531,283.98,51,6,1.42,BO,1715650240
352,st. john's,47.5649,-52.7093,281.81,95,100,2.06,CA,1715650126
353,avrig,45.7167,24.3833,279.6,80,100,1.06,RO,1715650241
354,labytnangi,66.6572,66.4183,263.36,90,100,2.18,RU,1715650241
355,tralee,52.2704,-9.7026,281.64,96,95,1.67,IE,1715650242
356,boa vista,2.8197,-60.6733,302.14,70,20,2.06,BR,1715650157
357,laguna,38.421,-121.4238,305.16,33,0,4.63,US,1715650163
358,kapa'a,22.0752,-159.319,300.14,83,40,5.66,US,1715650243
359,zaozersk,69.4005,32.4476,276.35,93,100,6.44,RU,1715650243
360,prince rupert,54.3161,-130.3201,282.98,76,100,3.6,CA,1715650243
361,sinop,41.7711,34.8709,276.05,94,9,3.17,TR,1715650244
362,yemetsk,63.4721,41.7941,271.89,90,99,0.17,RU,1715650244
363,kargil,34.5667,76.1,274.56,41,88,0.42,IN,1715650244
364,maceio,-9.6658,-35.7353,299.84,89,75,1.03,BR,1715650069
365,rikaze,29.25,88.8833,284.83,36,56,2.11,CN,1715650245
366,santa ana,33.7456,-117.8678,299.06,71,40,4.63,US,1715649999
367,taulaga,-11.0553,-171.0883,302.54,75,69,7.13,AS,1715650246
368,bel ombre,-4.6167,55.4167,302.06,84,40,6.69,SC,1715650246
369,yangambi,0.8102,24.4336,295.58,99,100,1.34,CD,1715650246
370,salinas,36.6777,-121.6555,293.49,78,0,4.63,US,1715650122
371,meiganga,6.5167,14.3,293.07,83,100,1.05,CM,1715650247
372,morant bay,17.8815,-76.4093,302.94,89,53,3.97,JM,1715650247
373,kavaratti,10.5669,72.642,303.56,69,0,3.61,IN,1715650248
374,ola,59.5833,151.2833,277.12,93,100,2.8,RU,1715650248
375,manakara,-22.1333,48.0167,293.27,92,4,1.81,MG,1715650249
376,malango,-2.9627,119.9001,300.27,62,22,1.73,ID,1715650249
377,fada,9.5667,8.3,295.11,92,100,1.5,NG,1715650249
378,hamilton,39.1834,-84.5333,295.39,58,20,3.6,US,1715650211
379,kapuskasing,49.4169,-82.4331,279.2,70,100,7.72,CA,1715650202
380,mhango,-3.2833,32.85,290.59,82,100,1.59,TZ,1715650250
381,starodub,52.5844,32.7633,274.01,82,66,2.34,RU,1715650250
382,umba,66.6871,34.3429,273.7,99,100,2.87,RU,1715650251
383,belinskiy,52.9647,43.4165,275.47,80,18,1.45,RU,1715650251
384,kongolo,-5.3833,27.0,294.58,90,100,1.32,CD,1715650252
385,humaita,-7.5061,-63.0208,297.4,97,100,1.15,BR,1715650253
386,merced,37.1666,-120.7516,303.28,21,48,4.3,US,1715650075
387,faya-largeau,17.9257,19.1043,304.05,16,74,10.87,TD,1715650253
388,lerwick,60.1545,-1.1494,283.15,96,100,7.55,GB,1715650256
389,okhotsk,59.3833,143.3,280.41,60,7,6.27,RU,1715650256
390,tieli,46.95,128.05,287.21,53,39,6.61,CN,1715650256
391,sault ste. marie,46.5168,-84.3333,280.46,70,0,3.6,CA,1715650231
392,zhangye,38.9342,100.4517,298.29,14,4,1.99,CN,1715650259
393,kirsanov,52.6549,42.7224,275.83,82,27,1.62,RU,1715650260
394,forster,-32.1667,152.5167,295.58,66,0,2.39,AU,1715650261
395,dakhla,23.6848,-15.958,291.0,91,11,10.39,EH,1715650262
396,betare oya,5.6,14.0833,293.92,95,100,0.65,CM,1715650266
397,pyt-yakh,60.7499,72.8582,274.07,60,100,4.23,RU,1715650266
398,urucara,-2.5364,-57.76,297.45,93,100,1.01,BR,1715650268
399,idil,37.3411,41.8895,286.11,77,75,3.09,TR,1715650268
400,isafjordur,66.0755,-23.124,273.4,76,14,1.21,IS,1715650268
401,hirara,24.8,125.2833,296.3,88,75,5.14,JP,1715650270
402,pokhara,28.2333,83.9833,296.89,57,9,0.66,NP,1715650203
403,el calafate,-50.3408,-72.2768,273.09,58,25,3.32,AR,1715650270
404,chui,-33.6971,-53.4616,280.69,80,64,3.83,UY,1715650271
405,porto novo,6.4965,2.6036,299.05,84,100,1.83,BJ,1715650271
406,callao,-12.0667,-77.15,295.77,77,0,3.09,PE,1715650271
407,ourem,39.6417,-8.5919,286.64,87,6,2.63,PT,1715650273
408,matoury,4.8483,-52.3317,298.13,100,75,1.03,GF,1715650273
409,changji,44.0167,87.3167,296.59,46,0,2.0,CN,1715650273
410,santa catalina,9.3337,122.8637,304.14,58,100,1.84,PH,1715650274
411,kashary,49.04,41.0056,277.45,66,100,3.41,RU,1715650274
412,nahiyat al fuhud,30.9697,46.7228,299.24,45,100,3.55,IQ,1715650274
413,sant lluis,39.8526,4.2594,291.37,94,100,3.6,ES,1715650275
414,port alfred,-33.5906,26.891,291.58,94,90,2.24,ZA,1715650275
415,miles city,46.4083,-105.8406,299.69,36,61,2.06,US,1715650276
416,kaseda-shirakame,31.4167,130.3167,293.83,69,0,1.71,JP,1715650276
417,trairi,-3.2778,-39.2689,298.44,89,55,2.34,BR,1715650276
418,kristiansund,63.1115,7.732,284.51,82,61,3.09,NO,1715650277
419,emerald,-23.5333,148.1667,297.78,37,12,6.17,AU,1715650277
420,iguape,-24.7081,-47.5553,295.01,89,100,3.81,BR,1715650278
421,schiffdorf,53.5333,8.65,288.85,72,6,5.65,DE,1715650279
422,linxia chengguanzhen,35.6003,103.2064,293.15,39,63,1.24,CN,1715650279
423,trinity beach,-16.7888,145.6968,303.16,83,100,6.17,AU,1715650281
424,katsuura,35.1333,140.3,290.01,67,100,9.6,JP,1715650281
425,touros,-5.1989,-35.4608,299.07,84,96,3.53,BR,1715650282
426,belmonte,-15.8631,-38.8828,298.03,82,0,2.12,BR,1715650282
427,belgrade,44.804,20.4651,285.96,70,0,2.06,RS,1715650014
428,tazacorte,28.629,-17.9293,292.69,94,40,7.72,ES,1715650283
429,kone,-21.0595,164.8658,303.63,44,2,1.66,NC,1715650283
430,ulsteinvik,62.3432,5.8487,287.08,57,85,1.79,NO,1715650255
431,bayganin,48.6947,55.8742,279.95,73,32,5.33,KZ,1715650284
432,tulun,54.5611,100.5792,289.46,39,44,4.81,RU,1715650284
433,kishangarh,26.5667,74.8667,304.76,29,100,4.78,IN,1715650285
434,sathupalli,17.2497,80.869,301.55,79,58,4.01,IN,1715650286
435,rio san juan,19.6439,-70.0763,298.68,90,28,3.89,DO,1715650286
436,carloforte,39.145,8.3058,290.01,74,100,2.44,IT,1715650289
